                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85374,                  1.072,                 1.1546,                0.92653,                0.98912,                0.99083,                0.87108,                0.52202,                 0.7897,                0.83247,             0.00066173,             0.00066173,             0.00066173
                      2,                0.77139,                 0.6432,                 1.0859,                0.79492,                0.86765,                0.91076,                0.79057,                0.52551,                0.82104,                0.85545,              0.0012626,              0.0012626,              0.0012626
                      3,                0.73665,                 0.5752,                 1.0664,                0.99337,                      1,                  0.995,                0.90543,                0.48953,                0.41747,                0.80785,              0.0017976,              0.0017976,              0.0017976
                      4,                0.70319,                0.51925,                 1.0529,                0.99938,                      1,                  0.995,                0.88806,                0.53992,                0.35612,                0.85268,               0.001703,               0.001703,               0.001703
                      5,                0.69199,                0.49361,                 1.0447,                0.98525,                      1,                  0.995,                0.91931,                0.39618,                  0.359,                0.77889,               0.001703,               0.001703,               0.001703
                      6,                 0.6536,                0.46126,                 1.0264,                0.99971,                      1,                  0.995,                0.91595,                0.40624,                0.27803,                0.79088,               0.001604,               0.001604,               0.001604
                      7,                0.60208,                0.43287,                 1.0114,                0.99657,                      1,                  0.995,                0.93548,                0.38181,                0.33506,                0.77953,               0.001505,               0.001505,               0.001505
                      8,                0.60578,                0.41412,                 1.0095,                 0.9997,                      1,                  0.995,                0.92759,                0.34823,                0.25481,                0.78641,               0.001406,               0.001406,               0.001406
                      9,                0.57611,                0.40326,                 0.9965,                0.99968,                      1,                  0.995,                0.97698,                 0.3037,                0.26468,                0.75163,               0.001307,               0.001307,               0.001307
                     10,                0.54092,                 0.3785,                0.98634,                 0.9997,                      1,                  0.995,                 0.9686,                0.31525,                0.25504,                0.76663,               0.001208,               0.001208,               0.001208
                     11,                0.41769,                0.27811,                0.91038,                 0.9997,                      1,                  0.995,                0.92606,                0.40174,                0.25212,                0.76405,               0.001109,               0.001109,               0.001109
                     12,                0.38006,                0.25679,                0.89515,                0.99972,                      1,                  0.995,                0.95075,                 0.3312,                0.25109,                0.76297,                0.00101,                0.00101,                0.00101
                     13,                0.35564,                0.23912,                0.88598,                0.99972,                      1,                  0.995,                0.95099,                 0.2886,                0.22113,                0.74411,               0.000911,               0.000911,               0.000911
                     14,                 0.3422,                0.22991,                0.87484,                0.99973,                      1,                  0.995,                0.97605,                0.28544,                0.22769,                0.74633,               0.000812,               0.000812,               0.000812
                     15,                0.31388,                0.20731,                0.86919,                0.99973,                      1,                  0.995,                0.97368,                0.25602,                0.19165,                0.74494,               0.000713,               0.000713,               0.000713
                     16,                0.29962,                0.19835,                0.86648,                0.99973,                      1,                  0.995,                0.97751,                0.27101,                0.21158,                0.74667,               0.000614,               0.000614,               0.000614
                     17,                0.27763,                0.18922,                0.85811,                0.99972,                      1,                  0.995,                0.98607,                0.23662,                0.19953,                0.73475,               0.000515,               0.000515,               0.000515
                     18,                0.27558,                0.18013,                0.85681,                0.99972,                      1,                  0.995,                0.98547,                0.23232,                0.19043,                0.73647,               0.000416,               0.000416,               0.000416
                     19,                0.25352,                0.16537,                0.85242,                0.99973,                      1,                  0.995,                0.98339,                0.21294,                0.21208,                0.73249,               0.000317,               0.000317,               0.000317
                     20,                0.24144,                0.15989,                0.84928,                0.99973,                      1,                  0.995,                0.98001,                0.19768,                0.16175,                0.73159,               0.000218,               0.000218,               0.000218
